Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_REGIO,SEXE
2021-01-01,6,Gràcia,29,el Coll,5,14,2
2021-01-01,6,Gràcia,29,el Coll,119,15,1
2021-01-01,6,Gràcia,29,el Coll,84,15,2
2021-01-01,6,Gràcia,29,el Coll,31,16,1
2021-01-01,6,Gràcia,29,el Coll,40,16,2
2021-01-01,6,Gràcia,29,el Coll,3419,17,1
2021-01-01,6,Gràcia,29,el Coll,3010,17,2
2021-01-01,6,Gràcia,29,el Coll,61,18,1
2021-01-01,6,Gràcia,29,el Coll,67,18,2
2021-01-01,6,Gràcia,29,el Coll,..,19,1
2021-01-01,6,Gràcia,29,el Coll,..,19,2
2021-01-01,6,Gràcia,30,la Salut,..,1,1
2021-01-01,6,Gràcia,30,la Salut,..,1,2
2021-01-01,6,Gràcia,30,la Salut,..,2,1
2021-01-01,6,Gràcia,30,la Salut,..,2,2
2021-01-01,6,Gràcia,30,la Salut,23,3,1
2021-01-01,6,Gràcia,30,la Salut,122,3,2
2021-01-01,6,Gràcia,30,la Salut,..,4,1
2021-01-01,6,Gràcia,30,la Salut,..,4,2
2021-01-01,6,Gràcia,30,la Salut,5,5,1
2021-01-01,6,Gràcia,30,la Salut,21,5,2
2021-01-01,6,Gràcia,30,la Salut,17,6,1
2021-01-01,6,Gràcia,30,la Salut,16,6,2
2021-01-01,6,Gràcia,30,la Salut,77,7,1
2021-01-01,6,Gràcia,30,la Salut,43,7,2
2021-01-01,6,Gràcia,30,la Salut,310,8,1
2021-01-01,6,Gràcia,30,la Salut,228,8,2
2021-01-01,6,Gràcia,30,la Salut,27,9,1
2021-01-01,6,Gràcia,30,la Salut,21,9,2
2021-01-01,6,Gràcia,30,la Salut,7,10,1
2021-01-01,6,Gràcia,30,la Salut,..,10,2
2021-01-01,6,Gràcia,30,la Salut,65,11,1
2021-01-01,6,Gràcia,30,la Salut,54,11,2
2021-01-01,6,Gràcia,30,la Salut,33,12,1
2021-01-01,6,Gràcia,30,la Salut,77,12,2
2021-01-01,6,Gràcia,30,la Salut,7,13,1
2021-01-01,6,Gràcia,30,la Salut,..,13,2
2021-01-01,6,Gràcia,30,la Salut,22,14,1
2021-01-01,6,Gràcia,30,la Salut,22,14,2
2021-01-01,6,Gràcia,30,la Salut,111,15,1
2021-01-01,6,Gràcia,30,la Salut,86,15,2
2021-01-01,6,Gràcia,30,la Salut,61,16,1
2021-01-01,6,Gràcia,30,la Salut,73,16,2
2021-01-01,6,Gràcia,30,la Salut,6298,17,1
2021-01-01,6,Gràcia,30,la Salut,5327,17,2
2021-01-01,6,Gràcia,30,la Salut,138,18,1
2021-01-01,6,Gràcia,30,la Salut,130,18,2
2021-01-01,6,Gràcia,30,la Salut,..,19,1
2021-01-01,6,Gràcia,30,la Salut,..,19,2
2021-01-01,6,Gràcia,30,la Salut,..,23,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,..,1,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,5,1,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,8,2,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,13,2,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,145,3,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,175,3,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,10,4,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,7,4,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,12,5,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,60,5,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,57,6,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,60,6,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,319,7,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,197,7,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,1392,8,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,1020,8,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,308,9,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,258,9,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,18,10,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,..,10,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,305,11,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,216,11,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,189,12,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,375,12,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,63,13,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,40,13,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,151,14,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,176,14,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,486,15,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,234,15,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,484,16,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,532,16,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,22338,17,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,18571,17,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,1068,18,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,1094,18,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,22,19,1
2021-01-01,6,Gràcia,31,la Vila de Gràcia,25,19,2
2021-01-01,6,Gràcia,31,la Vila de Gràcia,10,23,1
